"Name","Position","Height","Weight","Exp","Age","G","GS","MP","3PA","FGA","PF","PER","USG%","OWS","DWS","PG","PGS","PMP","P3PA","PFGA","PPF","PPER","PUSG%","POWS","PDWS","TORtg","TDRtg"
"Greg Anderson","PF",82,230,0,23,82,45,"1984",756,5,228,0,0,0,0,23,3,3,"95",36,0,10,0,0,0,0,"108.2","112.8"
"Johnny Moore","PG",73,175,7,29,4,0,"51",9,1,1,0,0,0,0,"108.2","112.8"
"Leon Wood","PG",75,185,3,25,38,8,"830",282,108,44,0,0,0,0,"108.2","112.8"
"Jon Sundvold","PG",74,170,4,26,52,12,"1024",379,64,54,0,0,0,0,26,3,3,"90",30,9,3,0,0,0,0,"108.2","112.8"
"Pete Myers","SG",78,180,1,24,22,0,"328",95,4,30,0,0,0,0,"108.2","112.8"
"Johnny Dawkins","PG",74,165,1,24,65,61,"2179",835,61,95,0,0,0,0,24,3,0,"53",23,2,2,0,0,0,0,"108.2","112.8"
"Richard Rellford","SF",78,230,0,23,4,0,"42",8,0,3,0,0,0,0,"108.2","112.8"
"Kurt Nimphius","C",82,218,6,29,72,7,"919",257,1,141,0,0,0,0,29,3,0,"30",10,0,7,0,0,0,0,"108.2","112.8"
"Petur Gudmundsson","C",86,260,2,29,69,9,"1017",280,1,197,0,0,0,0,29,2,0,"6",2,0,0,0,0,0,0,"108.2","112.8"
"Steve Harris","SG",77,195,2,24,14,10,"199",86,1,15,0,0,0,0,"107.1","105.7"
"Richard Anderson","PF",82,240,3,27,12,0,"53",26,15,4,0,0,0,0,"107.1","105.7"
"Joe Barry Carroll","C",84,225,6,29,63,16,"1596",715,1,149,0,0,0,0,29,4,4,"116",47,0,12,0,0,0,0,"107.1","105.7"
"Ralph Sampson","PF",88,228,4,27,19,19,"705",271,6,63,0,0,0,0,"107.1","105.7"
"Robert Reid","SG",80,205,9,32,62,31,"980",356,34,118,0,0,0,0,32,4,4,"114",33,7,13,0,0,0,0,"107.1","105.7"
"Cedric Maxwell","SF",80,205,10,32,71,0,"848",171,2,75,0,0,0,0,32,4,0,"15",2,0,1,0,0,0,0,"107.1","105.7"
"Purvis Short","SG",79,210,9,30,81,11,"1949",986,21,197,0,0,0,0,30,4,0,"71",26,1,8,0,0,0,0,"107.1","105.7"
"Jim Petersen","PF",82,235,3,25,69,50,"1793",488,6,203,0,0,0,0,25,4,0,"98",23,0,11,0,0,0,0,"107.1","105.7"
"Allen Leavell","SG",73,170,8,30,80,54,"2150",666,88,162,0,0,0,0,30,4,0,"38",19,6,6,0,0,0,0,"107.1","105.7"
"Andre Turner","PG",71,160,1,23,12,0,"99",34,7,13,0,0,0,0,"107.1","105.7"
"Lester Conner","PG",76,180,4,28,52,3,"399",108,7,31,0,0,0,0,28,1,0,"1",0,0,0,0,0,0,0,"107.1","105.7"
"World B. Free","SG",74,185,12,34,58,0,"682",350,35,74,0,0,0,0,34,2,0,"12",2,1,2,0,0,0,0,"107.1","105.7"
"Buck Johnson","SF",79,190,1,24,70,2,"879",298,8,127,0,0,0,0,24,4,0,"20",3,0,1,0,0,0,0,"107.1","105.7"
"Hakeem Olajuwon","C",84,255,3,25,79,79,"2825",1385,4,324,0,0,0,0,25,4,4,"162",98,1,14,0,0,0,0,"107.1","105.7"
