"Name","Position","Height","Weight","Exp","Age","G","GS","MP","3PA","FGA","PF","PER","USG%","OWS","DWS","PG","PGS","PMP","P3PA","PFGA","PPF","PPER","PUSG%","POWS","PDWS","TORtg","TDRtg"
"Jerryd Bayless","PG",75,200,0,20,53,0,"655",189,27,81,0,0,0,0,20,2,0,"11",6,1,0,0,0,0,0,"113.9","107.8"
"Rudy Fernandez","SG",78,185,0,23,78,4,"1993",630,398,111,0,0,0,0,23,6,1,"162",35,19,12,0,0,0,0,"113.9","107.8"
"Josh Powell","PF",81,225,3,26,60,1,"703",239,0,98,0,0,0,0,26,14,0,"73",26,1,8,0,0,0,0,"112.8","104.7"
"Lamar Odom","PF",82,220,9,29,78,32,"2316",703,103,235,0,0,0,0,29,23,5,"735",206,35,75,0,0,0,0,"112.8","104.7"
"Adam Morrison","SF",80,205,1,24,8,0,"44",12,4,4,0,0,0,0,"112.8","104.7"
"Derek Fisher","PG",73,200,12,34,82,82,"2441",688,302,187,0,0,0,0,34,22,22,"635",160,67,61,0,0,0,0,"112.8","104.7"
"Shannon Brown","SG",76,205,2,23,18,0,"136",42,9,9,0,0,0,0,23,21,0,"276",83,25,27,0,0,0,0,"112.8","104.7"
"Chris Mihm","C",84,265,7,29,18,0,"105",40,0,23,0,0,0,0,"112.8","104.7"
"Jordan Farmar","PG",74,180,2,22,65,0,"1192",412,146,105,0,0,0,0,22,20,1,"260",87,39,16,0,0,0,0,"112.8","104.7"
"Didier Ilunga-Mbenga","C",84,245,4,28,23,0,"181",57,1,33,0,0,0,0,28,7,0,"16",6,0,0,0,0,0,0,"112.8","104.7"
"Andrew Bynum","C",84,285,3,21,50,50,"1446",502,0,157,0,0,0,0,21,23,18,"400",127,0,77,0,0,0,0,"112.8","104.7"
"Luke Walton","SF",80,235,5,28,65,34,"1166",307,57,105,0,0,0,0,28,21,0,"332",75,16,41,0,0,0,0,"112.8","104.7"
"Kobe Bryant","SG",78,200,12,30,82,82,"2960",1712,336,189,0,0,0,0,30,23,23,"940",530,106,59,0,0,0,0,"112.8","104.7"
"Trevor Ariza","SF",80,200,4,23,82,20,"1999",596,191,166,0,0,0,0,23,23,23,"722",185,84,73,0,0,0,0,"112.8","104.7"
"Sun Yue","SG",81,205,0,23,10,0,"28",11,6,10,0,0,0,0,"112.8","104.7"
"Sasha Vujacic","SG",79,193,4,24,80,0,"1293",401,223,154,0,0,0,0,24,23,0,"250",91,51,34,0,0,0,0,"112.8","104.7"
"Vladimir Radmanovic","SF",82,227,7,28,46,28,"771",214,136,51,0,0,0,0,"112.8","104.7"
"Pau Gasol","C",84,227,7,28,81,81,"2999",1045,2,172,0,0,0,0,28,23,23,"931",276,0,69,0,0,0,0,"112.8","104.7"
"Marquis Daniels","SF",78,200,5,28,54,43,"1700",689,90,120,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"108.1","109.2"
"Brandon Rush","SG",78,210,0,23,75,19,"1803",575,209,128,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"108.1","109.2"
"Danny Granger","SF",81,222,3,25,67,66,"2424",1277,450,207,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"108.1","109.2"
"Rasho Nesterovic","C",84,248,10,32,70,19,"1214",437,1,171,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"108.1","109.2"
"Troy Murphy","PF",83,245,7,28,73,73,"2482",767,358,226,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"108.1","109.2"
"Jeff Foster","C",83,236,9,32,74,26,"1828",353,7,229,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"108.1","109.2"
"Travis Diener","PG",73,175,3,26,55,0,"719",179,118,42,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"108.1","109.2"
"Jarrett Jack","SG",75,202,3,25,82,53,"2716",853,221,179,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"108.1","109.2"
"Maceo Baston","PF",81,215,3,33,27,0,"217",46,1,39,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"108.1","109.2"
"Roy Hibbert","C",86,278,0,22,70,42,"1009",420,0,215,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"108.1","109.2"
"Josh McRoberts","PF",82,240,1,21,33,0,"279",83,10,41,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"108.1","109.2"
"T.J. Ford","PG",72,165,4,25,74,49,"2258",913,104,180,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"108.1","109.2"
"Stephen Graham","SG",78,215,3,26,52,6,"684",256,66,82,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"108.1","109.2"
"Mike Dunleavy","SG",81,220,6,28,18,14,"495",232,90,36,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"108.1","109.2"
"Rodney Stuckey","PG",77,205,1,22,79,65,"2517",913,78,217,0,0,0,0,22,4,4,"128",61,8,9,0,0,0,0,"107.4","108.0"
"Arron Afflalo","SG",77,215,1,23,74,8,"1234",300,107,144,0,0,0,0,23,4,0,"66",21,10,9,0,0,0,0,"107.4","108.0"
"Allen Iverson","PG",72,165,12,33,54,50,"1970",794,91,83,0,0,0,0,"107.4","108.0"
"Richard Hamilton","SG",78,185,9,30,67,51,"2279",1043,190,176,0,0,0,0,30,4,4,"154",59,10,12,0,0,0,0,"107.4","108.0"
"Walter Sharpe","PF",81,245,0,22,8,0,"20",11,2,3,0,0,0,0,"107.4","108.0"
"Jason Maxiell","C",79,260,3,25,78,4,"1408",320,1,157,0,0,0,0,25,4,0,"64",10,0,5,0,0,0,0,"107.4","108.0"
"Walter Herrmann","SF",81,225,2,29,59,0,"630",207,120,43,0,0,0,0,29,4,0,"22",8,4,3,0,0,0,0,"107.4","108.0"
"Kwame Brown","C",83,270,7,26,58,30,"999",169,0,138,0,0,0,0,26,3,0,"48",8,0,12,0,0,0,0,"107.4","108.0"
"Rasheed Wallace","C",82,225,13,34,66,63,"2123",720,319,197,0,0,0,0,34,4,4,"122",30,8,12,0,0,0,0,"107.4","108.0"
"Amir Johnson","PF",81,210,3,21,62,24,"911",163,0,171,0,0,0,0,21,3,0,"13",1,0,3,0,0,0,0,"107.4","108.0"
"Will Bynum","PG",72,185,1,26,57,1,"803",342,19,85,0,0,0,0,26,4,0,"78",39,4,9,0,0,0,0,"107.4","108.0"
"Antonio McDyess","PF",81,220,12,34,62,30,"1866",525,0,191,0,0,0,0,34,4,4,"136",44,0,17,0,0,0,0,"107.4","108.0"
"Alex Acker","SG",77,185,1,26,7,0,"20",11,4,0,0,0,0,0,"107.4","108.0"
"Tayshaun Prince","SF",81,215,6,28,82,82,"3057",1020,141,104,0,0,0,0,28,4,4,"129",27,5,4,0,0,0,0,"107.4","108.0"
"Chauncey Billups","PG",75,202,11,32,2,2,"70",21,7,3,0,0,0,0,"107.4","108.0"
"Peja Stojakovic","SF",81,220,10,31,61,59,"2089",719,384,101,0,0,0,0,31,5,5,"162",49,26,17,0,0,0,0,"108.7","107.0"
"Ryan Bowen","SF",79,215,8,33,21,3,"219",38,0,37,0,0,0,0,33,1,0,"2",1,0,1,0,0,0,0,"108.7","107.0"
"Chris Paul","PG",72,175,3,23,78,78,"3002",1255,176,212,0,0,0,0,23,5,5,"201",73,16,8,0,0,0,0,"108.7","107.0"
"Rasual Butler","SF",79,205,6,29,82,74,"2614",803,359,159,0,0,0,0,29,5,5,"158",37,19,14,0,0,0,0,"108.7","107.0"
"Hilton Armstrong","C",83,235,2,24,70,29,"1092",246,2,181,0,0,0,0,24,4,1,"53",13,0,15,0,0,0,0,"108.7","107.0"
"Morris Peterson","SG",79,218,8,31,43,9,"515",183,85,51,0,0,0,0,31,2,0,"21",5,3,3,0,0,0,0,"108.7","107.0"
"Julian Wright","SF",80,225,1,21,54,19,"772",234,21,49,0,0,0,0,21,4,0,"32",7,0,6,0,0,0,0,"108.7","107.0"
"Mike James","PG",74,188,7,33,8,0,"74",25,4,7,0,0,0,0,"108.7","107.0"
"Devin Brown","SG",77,220,6,30,63,5,"869",313,97,81,0,0,0,0,30,3,0,"33",8,4,2,0,0,0,0,"108.7","107.0"
"Tyson Chandler","C",85,235,7,26,45,45,"1445",283,0,144,0,0,0,0,26,4,4,"94",12,0,17,0,0,0,0,"108.7","107.0"
"David West","PF",81,240,5,28,76,76,"2982",1292,25,207,0,0,0,0,28,5,5,"178",80,0,19,0,0,0,0,"108.7","107.0"
"Sean Marks","C",82,250,8,33,60,5,"838",165,10,121,0,0,0,0,33,5,0,"80",13,1,9,0,0,0,0,"108.7","107.0"
"Antonio Daniels","PG",76,195,11,33,61,4,"733",191,49,41,0,0,0,0,33,5,0,"64",13,4,1,0,0,0,0,"108.7","107.0"
"Melvin Ely","C",82,260,6,30,31,4,"373",95,0,58,0,0,0,0,"108.7","107.0"
"James Posey","SG",80,215,9,32,75,0,"2140",524,314,216,0,0,0,0,32,5,0,"123",40,19,12,0,0,0,0,"108.7","107.0"
"Jermareo Davidson","SF",82,230,1,24,14,0,"111",35,0,12,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"109.5","113.3"
