"Name","Position","Height","Weight","Exp","Age","G","GS","MP","3PA","FGA","PF","PER","USG%","OWS","DWS","PG","PGS","PMP","P3PA","PFGA","PPF","PPER","PUSG%","POWS","PDWS","TORtg","TDRtg"
"Tony Bobbitt","SG",76,190,0,25,2,0,"12",5,2,1,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"108.1","111.4"
"Devean George","SF",80,220,5,27,15,3,"306",104,58,32,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"108.1","111.4"
"Rodney Rogers","PF",79,235,11,33,28,7,"485",161,76,69,0,0,0,0,33,4,0,"49",13,8,4,0,0,0,0,"103.5","104.3"
"Kenny Thomas","PF",79,261,5,27,47,43,"1344",476,4,151,0,0,0,0,"103.5","104.3"
"Michael Bradley","PF",82,245,3,25,2,0,"16",5,1,0,0,0,0,0,"103.5","104.3"
"Marc Jackson","C",82,270,4,30,81,23,"1976",731,2,171,0,0,0,0,30,5,0,"65",20,0,9,0,0,0,0,"103.5","104.3"
"Aaron McKie","SG",77,209,10,32,68,3,"1118",142,62,116,0,0,0,0,32,5,0,"85",7,3,9,0,0,0,0,"103.5","104.3"
"Allen Iverson","PG",72,165,8,29,75,75,"3174",1818,338,140,0,0,0,0,29,5,5,"238",126,29,12,0,0,0,0,"103.5","104.3"
"John Salmons","SG",79,210,2,25,58,8,"993",210,91,92,0,0,0,0,25,2,0,"4",0,0,0,0,0,0,0,"103.5","104.3"
"Kevin Ollie","PG",76,195,7,32,26,0,"158",31,0,16,0,0,0,0,"103.5","104.3"
"Kyle Korver","SF",79,210,1,23,82,57,"2667",759,558,265,0,0,0,0,23,5,5,"147",28,24,18,0,0,0,0,"103.5","104.3"
"Josh Davis","PF",80,235,1,24,42,5,"328",111,53,45,0,0,0,0,24,2,0,"4",1,1,1,0,0,0,0,"103.5","104.3"
"Andre Iguodala","SG",78,207,0,21,82,82,"2686",546,142,204,0,0,0,0,21,5,5,"192",43,9,12,0,0,0,0,"103.5","104.3"
"Willie Green","SG",76,200,1,23,57,21,"1066",423,105,121,0,0,0,0,23,5,0,"63",18,9,5,0,0,0,0,"103.5","104.3"
"Chris Webber","PF",81,245,11,31,21,21,"702",366,15,70,0,0,0,0,31,5,5,"186",95,14,20,0,0,0,0,"103.5","104.3"
"Kedrick Brown","SF",79,222,3,23,8,0,"55",6,3,4,0,0,0,0,"103.5","104.3"
"Brian Skinner","PF",81,255,6,28,24,0,"246",57,1,29,0,0,0,0,"103.5","104.3"
"Corliss Williamson","PF",79,245,9,31,48,5,"1056",417,2,144,0,0,0,0,"103.5","104.3"
"Samuel Dalembert","C",83,250,2,23,72,60,"1785",477,0,241,0,0,0,0,23,5,5,"192",47,0,19,0,0,0,0,"103.5","104.3"
"Antoine Walker","PF",80,224,8,28,24,24,"827",364,73,70,0,0,0,0,28,6,6,"224",104,19,19,0,0,0,0,"107.5","106.6"
"Al Jefferson","PF",82,265,0,20,71,1,"1051",369,3,195,0,0,0,0,20,7,0,"136",41,0,16,0,0,0,0,"107.5","106.6"
"Kendrick Perkins","C",82,280,1,20,60,3,"548",119,0,98,0,0,0,0,20,6,0,"28",5,0,7,0,0,0,0,"107.5","106.6"
"Walter McCarty","PF",82,230,8,30,44,0,"553",150,90,85,0,0,0,0,"107.5","106.6"
"Mark Blount","C",84,230,4,29,82,57,"2130",618,1,229,0,0,0,0,29,4,0,"43",14,0,6,0,0,0,0,"107.5","106.6"
"Marcus Banks","PG",74,200,1,23,81,2,"1145",286,59,146,0,0,0,0,23,7,0,"106",29,6,16,0,0,0,0,"107.5","106.6"
"Ricky Davis","SG",78,195,6,25,82,11,"2696",1041,180,174,0,0,0,0,25,7,2,"240",74,9,23,0,0,0,0,"107.5","106.6"
"Tom Gugliotta","PF",82,240,12,35,20,0,"218",37,0,23,0,0,0,0,"107.5","106.6"
"Paul Pierce","SF",79,235,6,27,82,82,"2960",1223,292,255,0,0,0,0,27,7,7,"277",93,27,18,0,0,0,0,"107.5","106.6"
"Justin Reed","SF",80,240,0,23,23,0,"121",29,3,12,0,0,0,0,23,6,0,"22",6,2,2,0,0,0,0,"107.5","106.6"
"Raef LaFrentz","PF",83,240,6,28,80,80,"2196",688,225,262,0,0,0,0,28,7,7,"185",41,16,27,0,0,0,0,"107.5","106.6"
"Delonte West","SG",76,180,0,21,39,7,"507",155,67,69,0,0,0,0,21,7,3,"115",21,11,17,0,0,0,0,"107.5","106.6"
"Tony Allen","SG",76,213,0,23,77,34,"1262",387,31,156,0,0,0,0,23,7,3,"90",18,0,17,0,0,0,0,"107.5","106.6"
"Gary Payton","PG",76,180,14,36,77,77,"2541",725,129,121,0,0,0,0,36,7,7,"239",74,14,10,0,0,0,0,"107.5","106.6"
"Jiri Welsch","SG",79,208,2,25,55,32,"1125",320,99,105,0,0,0,0,"107.5","106.6"
"Britton Johnsen","SF",82,210,1,25,6,1,"87",22,4,10,0,0,0,0,"105.5","104.6"
"Michael Curry","SF",77,210,10,36,18,7,"249",29,0,39,0,0,0,0,"105.5","104.6"
"Eddie Gill","PG",72,190,3,26,73,3,"1021",242,117,105,0,0,0,0,26,7,0,"45",16,6,0,0,0,0,0,"105.5","104.6"
"Tremaine Fowlkes","SF",80,220,3,28,8,0,"56",17,3,7,0,0,0,0,"105.5","104.6"
"Stephen Jackson","SF",80,218,4,26,51,49,"1806",819,286,154,0,0,0,0,26,13,13,"472",178,63,39,0,0,0,0,"105.5","104.6"
"Reggie Miller","SG",79,185,17,39,66,66,"2105",719,298,109,0,0,0,0,39,13,13,"430",143,66,28,0,0,0,0,"105.5","104.6"
"Anthony Johnson","PG",75,190,7,30,63,36,"1747",456,108,144,0,0,0,0,30,13,4,"316",77,23,28,0,0,0,0,"105.5","104.6"
"James Jones","SF",80,225,1,24,75,24,"1330",318,166,123,0,0,0,0,24,13,0,"214",46,25,18,0,0,0,0,"105.5","104.6"
"Jeff Foster","C",83,236,5,28,61,43,"1594",324,5,186,0,0,0,0,28,13,0,"245",52,0,27,0,0,0,0,"105.5","104.6"
"Jonathan Bender","SF",83,202,5,24,7,0,"93",40,5,9,0,0,0,0,"105.5","104.6"
"Marcus Haislip","PF",82,230,2,24,9,0,"106",38,1,15,0,0,0,0,"105.5","104.6"
"John Edwards","C",84,275,0,23,25,1,"139",30,0,12,0,0,0,0,"105.5","104.6"
